BITCOIN;ETHEREUM;CARDANO;DECENTRALAND;MONERO
3976.81;148.87;0.05;0.04;51.46
3934.81;145.3;0.04;0.04;49.1
3973.64;148.04;0.05;0.04;50.93
4115.34;157.68;0.05;0.04;52.24
3742.87;134.32;0.04;0.05;47.24
3824.68;137.82;0.04;0.04;48.09
3809.21;136;0.04;0.04;47.88
3813.38;134.85;0.04;0.04;48.55
3815.61;135.49;0.04;0.04;47.42
3815.75;134.95;0.04;0.04;47.92
3819.65;132.41;0.04;0.04;47.99
3806.95;130.54;0.04;0.04;48.31
3712.81;125.62;0.04;0.04;46.7
3852.46;136.55;0.04;0.04;48.39
3860.51;137.33;0.04;0.04;48.69
3871.64;136.79;0.04;0.05;49.09
3861.88;133.54;0.04;0.05;48.11
3941.6;137.2;0.05;0.05;49.58
3923.56;135.62;0.05;0.05;48.62
3860.36;132.39;0.05;0.05;48.74
3876.48;133.29;0.05;0.05;49.6
3865.82;131.67;0.05;0.05;49.97
3876.7;132.15;0.05;0.05;50.46
3925.46;136.45;0.05;0.05;52.02
4007.71;141.09;0.05;0.05;53.08
3980.99;138.55;0.05;0.05;51.72
3986.71;137.66;0.05;0.05;51.71
4013.58;138.52;0.05;0.05;52.67
4045.57;139.08;0.05;0.05;54.49
3983.32;135.06;0.05;0.05;52.3
3989.16;136.1;0.06;0.05;52.61
4008.95;137.2;0.06;0.05;52.38
3993.39;136.06;0.06;0.05;52.6
3927.58;133.82;0.06;0.05;51.46
3938.66;134.03;0.06;0.07;52.04
4036.16;139.64;0.07;0.06;52.86
4028.39;137.81;0.07;0.06;52.71
4103.32;143.15;0.07;0.06;53.45
4103.86;142.29;0.07;0.06;53.37
4103.52;141.59;0.07;0.06;55.66
4146.32;141.51;0.07;0.06;60.62
4862.23;164.05;0.08;0.06;68.63
4955.83;160.43;0.09;0.06;66.3
4899.02;157.41;0.09;0.06;63.7
5014.96;165.14;0.09;0.06;68.27
5041.87;165.33;0.09;0.06;67.92
5176.98;174.09;0.09;0.06;69.53
5266.89;180.01;0.09;0.06;71.15
5172.18;175.29;0.08;0.05;68.83
5308.91;177.33;0.09;0.05;70.83
5047.79;165.04;0.08;0.05;67.19
5082.47;164.57;0.08;0.06;66.01
5072.99;163.97;0.08;0.05;65.2
5149.31;167.62;0.08;0.06;66.53
5039.88;160.53;0.08;0.05;64.14
5213.6;166.48;0.08;0.06;69.38
5218.96;166.33;0.08;0.06;68.28
5274.77;173.41;0.08;0.06;69.63
5280.35;173.23;0.08;0.06;69.1
5307.69;173.17;0.08;0.06;69.46
5311.16;169.99;0.07;0.06;68.6
5380.94;171.04;0.08;0.05;69.17
5557.93;170.91;0.07;0.05;69.93
5452.1;165.67;0.07;0.05;67.57
5203.09;153.93;0.07;0.05;61.7
5295.85;157.38;0.07;0.05;63.25
5256.98;158.29;0.07;0.05;62.86
5257.8;156.6;0.07;0.05;61.82
5199.76;154.08;0.06;0.05;60.71
5292.8;160.74;0.07;0.05;61.65
5354.59;159.49;0.07;0.05;64.5
5450.71;160.96;0.07;0.05;64.28
5731.49;166.63;0.07;0.05;66.15
5803.94;162.84;0.07;0.05;67.47
5749.32;162.37;0.07;0.05;66.11
5715.76;172.83;0.07;0.05;66.55
5841.05;170.1;0.06;0.05;65.66
5957.86;170.11;0.06;0.05;66.98
6168.27;170.58;0.06;0.05;64.62
6370.23;172.68;0.06;0.05;67.88
7258.26;196.69;0.08;0.05;77.73
6953.75;187.27;0.07;0.05;75.53
7805.98;196.08;0.07;0.06;79.07
7990.06;218.28;0.08;0.06;83.15
8192.22;248.75;0.09;0.05;94.85
7875.91;264.9;0.09;0.06;85.86
7343.37;243.57;0.08;0.06;81.58
7300.66;235.33;0.08;0.05;79.99
8168.73;260.6;0.09;0.06;90.12
